day,day2,time,open_at_915,top,bottom,close_at_915,expiry_date,strike_price,right,target,SL,input_price,exit_price,PL,trade,month,year,day_max,PL_TLSL,Result,,
13-03-2020,Friday,10:24,22720.8,22720.8,22320.7,22320.7,26-Mar-20,22900,PE,200.05,100.025,834.25,617.9,216.35,T535,3,2020,216.35,216.35,1,,
16-03-2020,Monday,10:03,24061.6,24061.6,23934.8,23934.8,26-Mar-20,23700,CE,63.4,31.7,1406.5,1299.05,107.45,T536,3,2020,107.45,107.45,1,,
17-03-2020,Tuesday,10:03,23348.1,23348.1,22837.1,22837.1,26-Mar-20,23400,PE,255.5,127.75,1554.55,1997.4,-442.85,T537,3,2020,0,-127.75,0,,
18-03-2020,Wednesday,10:03,22411.8,22440.6,22340.6,22369.4,26-Mar-20,21600,CE,100,50,1198,1303.2,-105.2,T538,3,2020,68,18,1,,
19-03-2020,Thursday,10:03,19428.9,19428.9,19245.8,19245.8,26-Mar-20,19000,CE,91.55,45.775,1241.05,1319,-77.95,T539,3,2020,0,-45.775,0,,
26-03-2020,Thursday,10:03,18781.8,18781.8,18630.8,18630.8,01-Apr-20,19600,PE,75.5,37.75,1000,1085,-85,T543,3,2020,0,-37.75,0,,
01-04-2020,Wednesday,10:03,19122.4,19122.4,18864,18864,09-Apr-20,18600,CE,129.2,64.6,816.05,647,169.05,T547,4,2020,169.05,169.05,1,,
08-04-2020,Wednesday,10:03,18799.4,18799.4,18643.4,18643.4,16-Apr-20,19200,PE,78,39,905.7,1195.05,-289.35,T550,4,2020,0,-39,0,,
09-04-2020,Thursday,10:15,19553.2,19624.4,19524.4,19595.6,16-Apr-20,19600,PE,100,50,851.5,907.2,-55.7,T551,4,2020,0,-50,0,,
16-04-2020,Thursday,10:03,18957.2,18989.95,18889.95,18922.7,23-Apr-20,18900,CE,100,50,717.6,825,-107.4,T554,4,2020,17.6,-32.4,0,,
17-04-2020,Friday,10:06,20394.8,20394.8,20284.3,20284.3,30-Apr-20,20300,CE,55.25,27.625,985,825.85,159.15,T555,4,2020,159.15,159.15,1,,
20-04-2020,Monday,10:06,21104.7,21104.7,20771.4,20771.4,30-Apr-20,20800,CE,166.65,83.325,886,969.6,-83.6,T556,4,2020,58.2,-25.125,0,,
21-04-2020,Tuesday,10:03,19812.1,19876.2,19776.2,19840.3,30-Apr-20,19700,CE,100,50,859,750,109,T557,4,2020,109,109,1,,
22-04-2020,Wednesday,10:03,19306.9,19306.9,19205.1,19205.1,30-Apr-20,19100,CE,50.9,25.45,749.95,786.95,-37,T558,4,2020,19.95,-5.5,0,,
23-04-2020,Thursday,10:03,19871.3,19871.3,19747.4,19747.4,30-Apr-20,19900,PE,61.95,30.975,669,605.4,63.6,T559,4,2020,63.6,63.6,1,,
24-04-2020,Friday,10:03,19697.7,19736.15,19636.15,19674.6,07-May-20,19800,PE,100,50,1198,820.45,377.55,T560,4,2020,0,377.55,1,,
27-04-2020,Monday,10:03,19870.8,19948.4,19870.8,19948.4,07-May-20,20000,PE,50,25,760,700.05,59.95,T561,4,2020,59.95,59.95,1,,
28-04-2020,Tuesday,10:03,20436.6,20494.4,20394.4,20452.2,07-May-20,20400,CE,100,50,535.1,596.9,-61.8,T562,4,2020,0,-50,0,,
29-04-2020,Wednesday,10:03,20440.4,20571.2,20440.4,20571.2,07-May-20,20700,PE,65.4,32.7,545.05,475.05,70,T563,4,2020,70,70,1,,
30-04-2020,Thursday,10:03,21589.2,21649.8,21589.2,21649.8,07-May-20,21900,PE,50,25,492.9,519.7,-26.8,T564,4,2020,0,-25,0,,
05-05-2020,Tuesday,10:03,20147.3,20219.85,20119.85,20192.4,14-May-20,19800,CE,100,50,680,565,115,T566,5,2020,115,115,1,,
06-05-2020,Wednesday,10:03,19302.4,19302.4,19045,19045,14-May-20,19400,PE,128.7,64.35,757.85,612.9,144.95,T567,5,2020,144.95,144.95,1,,
07-05-2020,Thursday,10:03,19536.1,19536.1,19411,19411,14-May-20,19700,PE,62.55,31.275,643.25,678.25,-35,T568,5,2020,0,-31.275,0,,
11-05-2020,Monday,10:09,19610.4,19668.1,19568.1,19625.8,21-May-20,19500,CE,100,50,684.75,584.6,100.15,T570,5,2020,100.15,100.15,1,,
12-05-2020,Tuesday,10:03,18751.4,18751.4,18575.1,18575.1,21-May-20,18400,CE,88.15,44.075,540,596.75,-56.75,T571,5,2020,0,-44.075,0,,
13-05-2020,Wednesday,10:03,20017.8,20017.8,19918.8,19918.8,21-May-20,19700,CE,50,25,693,725.2,-32.2,T572,5,2020,27,2,1,,
14-05-2020,Thursday,10:30,19197.7,19266.25,19166.25,19234.8,21-May-20,19200,CE,100,50,539.05,598,-58.95,T573,5,2020,0,-50,0,,
15-05-2020,Friday,10:03,19098.8,19098.8,18884.4,18884.4,28-May-20,18800,CE,107.2,53.6,727.55,809.95,-82.4,T574,5,2020,40.65,-12.95,0,,
18-05-2020,Monday,10:03,18795.1,18795.1,18501.2,18501.2,28-May-20,18000,CE,146.95,73.475,658.6,508.05,150.55,T575,5,2020,150.55,150.55,1,,
